<Apps_for_Android> games:3081.149337 play:2158.369407 graphics:1505.510898 kindle:1470.820943 addictive:1311.905563 challenging:1038.128456 coins:1002.664789 addicting:990.844113 fire:956.147005 levels:825.381328 playing:692.934040 ads:642.396979 puzzles:596.771675 apps:548.781065 free:500.988479 bingo:409.235849 mahjong:322.008919 download:303.864928 faotd:288.857720 facebook:282.517054 downloaded:262.770225 hints:242.610290 solitaire:211.642996 android:211.581058 puzzle:198.855822 gameplay:198.512336 freezes:189.677371 unlock:185.752101 played:180.396504 deleted:179.224359 bought:174.458721 flappy:173.305837 upgrades:168.998567 awesome:155.210082 tablet:155.138222 price:149.595909 calculator:148.957563 developer:148.377465 quality:144.193957 permissions:137.370915 author:135.342054 earn:134.752716 bored:131.231901 uninstall:127.291063 sudoku:126.999685 fit:126.104024 years:124.357844 reading:121.651207 made:120.914564 characters:118.097885 gameloft:115.534293 series:115.057166 written:114.840610 addicted:109.650368 crashes:107.309398 brain:106.929097 multiplayer:102.514577 challenge:102.189679 sims:100.448686 uninstalling:100.321935 tetris:99.243575 back:99.124912 glitches:99.025537 end:95.248222 waster:94.225293 crashing:93.688031 downloading:93.542352 size:93.343667 put:91.540716 logos:88.265713 minecraft:88.265713 glu:86.649621 pou:86.649621 freecell:86.649621 apos:86.649621 
<Automotive> oem:1068.858359 honda:1035.223355 engine:763.277256 vehicle:667.986619 headlights:661.420625 exhaust:627.500155 jeep:613.539931 installed:556.773888 tire:547.395880 headlight:522.191224 toyota:469.629660 factory:415.447649 dealer:413.400582 dealership:397.032978 muffler:394.638392 ford:381.602408 wiper:376.080926 nissan:370.521826 mats:370.321245 fit:345.042681 wipers:343.565014 dodge:326.574699 bumper:299.239056 fuel:294.448771 chevy:285.281289 windshield:284.917434 crv:281.877413 acura:281.877413 acdelco:281.877413 installation:279.501394 gasket:277.618454 camry:272.072823 gmc:272.072823 civic:260.741798 helmet:247.717946 subaru:246.080454 cars:234.639358 kia:233.236988 cab:230.997697 detailer:225.499070 altima:225.499070 meguiar:225.499070 delco:225.499070 hitch:218.435441 trailer:211.045578 wheel:205.895997 tranny:198.498859 atv:198.498859 gaskets:198.498859 passenger:197.609637 decal:196.449411 motorcycle:191.884705 lights:188.039797 torque:180.171956 trucks:180.171956 integra:178.804991 taillight:178.804991 silverado:178.804991 resistor:178.804991 buick:178.804991 alternator:178.804991 filter:175.442213 coupe:172.449667 sealant:172.449667 trunk:169.973977 arnley:169.122157 weathertech:169.122157 mpg:169.122157 kensun:169.122157 dorman:169.122157 ballasts:169.122157 visors:169.122157 steering:163.312622 mirror:160.727615 vehicles:157.313490 
<Baby> diaper:2429.740312 crib:2411.469634 newborn:1292.007370 seat:1260.446611 pacifiers:1206.434328 carseat:1191.021569 sippy:1171.173348 pacifier:1105.934567 nipple:1049.249885 diapers:996.184501 britax:940.489225 strollers:935.767042 infant:923.409982 medela:855.964706 graco:850.686518 babies:797.119319 avent:765.608153 swaddle:765.608153 gate:755.234788 teething:748.559457 teether:680.531946 toddler:634.339385 son:514.349093 highchair:510.386009 nursery:499.794286 daughter:497.394199 naps:492.245103 breast:472.911351 bassinet:460.039432 potty:446.343584 tub:441.379964 mam:435.766514 boppy:435.766514 swaddling:425.316278 blanket:415.760557 playtex:412.646443 latch:405.448301 nipples:396.934961 bottles:395.746206 bath:393.899772 swaddled:379.804794 recline:379.804794 reclined:352.769895 soothie:340.248706 wubbanub:340.248706 teethers:340.248706 diapering:340.248706 nuk:340.248706 prefolds:340.248706 feeding:339.571208 blankets:324.567773 breastfeeding:317.959926 bib:301.465351 carrier:300.981618 month:291.095900 months:285.351243 toys:283.468273 evenflo:270.604668 outgrew:262.095639 carseats:255.183292 snugride:255.183292 prefold:255.183292 blankie:255.183292 colicky:255.183292 sleepsacks:255.183292 chicco:255.183292 breastfed:255.183292 milk:237.145960 convertible:237.051758 rattle:236.353645 tray:229.658312 munchkin:224.179195 burp:224.179195 chair:223.034892 bottle:215.874355 
<Beauty> lotion:2313.734278 scent:2300.792606 shampoo:2233.724278 smells:2182.078032 conditioner:1797.864615 dry:1453.090488 smell:1370.409514 fragrance:1346.821283 oily:1308.609375 perfume:1259.923297 moisturizer:1185.951995 curly:1150.566888 acne:1022.636053 greasy:1017.469557 curls:939.615111 makeup:913.785741 polish:901.162553 lashes:848.913029 salon:841.373182 brush:839.526696 frizzy:837.689525 mascara:837.689525 tanning:762.225250 frizz:759.357508 cleanser:709.354711 serum:709.354711 products:693.756063 moisturizing:683.326099 bottle:665.658687 cream:661.459217 scalp:659.034446 cologne:647.111257 nail:625.964862 curl:571.798530 shiny:546.325353 lipstick:542.693235 dryer:536.400706 face:520.435097 perfumes:491.179999 nails:490.261604 shampoos:479.712529 gel:477.768064 comb:470.116522 complexion:469.700254 pores:469.700254 spf:456.534342 fragrances:456.534342 opi:455.666004 brushes:441.427880 drying:429.969432 redness:428.214662 straightener:417.688537 curling:399.531740 wavy:398.362561 oil:386.309016 moisturized:371.417790 eyelashes:371.417790 hydrating:343.381098 concealer:341.736495 eyeliner:341.736495 natural:336.218270 silky:335.216935 soap:331.199411 lotions:328.232399 breakouts:323.498155 moisturizers:305.769154 eyeshadow:303.761920 smooth:294.752901 scents:288.058740 bristles:287.236569 tan:286.967256 wash:284.564282 soft:279.281527 sunscreen:279.038323 apply:278.498183 
<Book> reading:6184.609280 author:6181.072187 characters:4818.141989 written:4300.449304 series:2865.618039 reader:2786.950161 writing:2431.360517 interesting:2380.099369 world:2162.415929 enjoyed:2121.467899 pages:2113.488067 stories:2048.676779 character:1945.430928 history:1784.441730 page:1780.450470 information:1721.403725 readers:1500.067976 chapter:1451.007028 plot:1359.476430 price:1322.720349 authors:1307.194720 quality:1301.538949 people:1238.462716 understand:1129.122825 romance:1112.733575 chapters:1106.785477 mystery:1047.870259 lives:1040.956257 writer:1033.496118 fit:1023.026482 novels:1017.885664 end:983.390920 loved:978.852109 man:925.715099 learn:921.236712 ending:918.495899 god:917.320028 ideas:897.267376 fiction:893.578250 human:881.500397 relationship:874.064320 understanding:863.342441 subject:844.074763 bought:834.374861 war:827.581545 interested:795.361168 young:788.782837 writes:780.904101 finished:780.343058 size:779.938498 historical:773.595991 sense:771.653639 family:766.416809 works:752.384511 questions:743.690889 examples:741.978684 knowledge:734.854485 text:728.966972 interest:726.490016 events:725.368312 recipes:725.237589 published:721.057699 found:719.275119 wait:715.266856 illustrations:701.061108 children:697.262026 journey:693.401425 study:686.906047 forward:685.034485 felt:683.692673 reference:679.028219 heart:676.828128 guide:674.519207 personal:666.317111 insight:664.610596 
<CDs_and_Vinyl> music:13083.770814 albums:6705.824908 tracks:6516.952651 lyrics:5856.640412 listen:5637.042825 band:4883.454487 rock:4836.651077 vocals:4785.881672 track:4579.551601 listening:3608.889317 heard:3521.927696 recording:2912.739693 sound:2907.786309 voice:2662.902752 quot:2356.904553 record:2343.575420 singing:2308.630482 musical:2279.901027 sounds:2174.166715 cds:2145.667733 recordings:2121.591349 vocal:2097.253668 recorded:2061.575895 jazz:2054.709083 singer:2035.687454 disc:2033.553047 tunes:1928.382540 hear:1863.794233 solo:1763.539543 sing:1750.764968 bands:1725.774645 blues:1701.708807 catchy:1655.441681 listened:1652.636355 melodies:1580.238499 hits:1574.438869 concert:1531.870842 fan:1519.617452 pop:1474.952193 acoustic:1362.352453 instrumental:1353.169070 release:1353.093833 artists:1314.952125 melodic:1309.125382 musicians:1180.186048 fans:1161.650828 sings:1160.089265 listener:1153.080910 piano:1139.340485 released:1130.765163 chorus:1112.276348 musically:1103.196802 punk:1098.315841 collection:1088.701281 arrangements:1078.449045 records:1072.635883 ballads:1053.010779 instruments:1030.051539 drums:1020.952469 orchestra:1017.116915 compilation:1011.922805 melody:1006.529908 classic:989.853672 singers:977.178302 songwriting:974.586645 ballad:972.178830 production:966.428018 live:949.013246 bass:937.384936 guitars:919.835637 riffs:906.213390 favorite:903.975499 dance:898.801586 soundtrack:891.355538 musicianship:883.993739 
<Cell_Phones_and_Accessorie> iphone:4184.060131 screen:2076.915619 protector:2013.231153 galaxy:1707.005860 charger:1478.380391 otterbox:1443.873217 dropped:1350.922562 charge:1308.568448 battery:1093.380459 protects:1061.594565 samsung:1034.382022 protection:981.074800 cases:951.459611 phones:933.700091 fits:868.279583 charging:813.567828 headset:809.388798 htc:754.698549 bluetooth:639.398616 cell:612.919195 verizon:594.904602 nokia:591.229198 buttons:589.116213 otter:545.599201 protectors:533.985706 blackberry:503.876458 bubbles:456.369860 pocket:451.821947 cover:446.765539 droid:429.620946 protective:419.937979 motorola:413.747445 protected:378.335715 fit:376.610794 protect:374.177395 lg:373.999668 headsets:361.844887 stylus:358.398605 rubber:341.941620 bulky:338.329477 charged:310.195036 charges:309.697839 clip:308.953396 edges:304.076554 slim:302.675771 chargers:301.541376 mobile:287.657678 sprint:286.385548 kickstand:281.340405 sim:277.290537 iphones:272.264271 scratches:269.880230 perfectly:269.459576 ear:257.877858 drop:247.737776 tpu:240.436822 cracked:239.987812 rubberized:235.217941 gs:222.087822 spigen:218.714893 holster:216.918549 smartphone:214.891612 broke:214.544321 texting:214.275106 unlocked:213.801570 plastic:211.415101 defender:208.617447 grip:207.004428 zagg:206.049527 button:205.511800 lifeproof:205.207650 reading:204.981840 cellphone:203.259495 mah:201.810990 usb:195.847917 
<Clothing_Shoes_and_Jewelry> comfortable:4674.489582 shoe:4043.170623 size:3312.666744 fit:2736.725184 pair:2384.965057 shirt:2218.516366 boots:2009.972658 wearing:1675.074217 dress:1471.864435 worn:1405.344418 earrings:1392.184490 jeans:1152.068764 sandals:1125.862834 feet:1116.950171 bra:987.838893 bracelet:986.629061 wore:979.465812 socks:978.763467 cute:920.680908 necklace:882.929058 compliments:855.415611 heel:849.209611 costume:844.600050 sizing:815.667660 leather:792.783995 pants:785.673040 watches:747.181121 sole:729.377427 fabric:723.457122 color:712.553350 comfy:669.609221 toe:660.032249 waist:642.026685 slippers:596.955768 ordered:576.598377 shirts:561.413684 fits:553.430102 jewelry:542.609978 foot:540.766663 ring:523.840671 pairs:506.218513 wears:487.311490 leggings:455.256388 sizes:447.784093 sandal:442.388934 tight:437.215705 jacket:419.238328 watch:418.910164 soles:418.315886 arch:417.683971 quality:412.682595 casual:404.516788 boot:402.102742 flattering:395.127143 colors:388.565975 soft:383.907633 warm:378.603060 sneakers:376.355809 stylish:375.468168 pendant:342.859385 outfit:342.389985 characters:336.325317 material:333.952845 reading:330.671999 bras:325.050983 nice:311.772219 narrow:307.017485 sweater:306.688697 cotton:305.541363 clasp:305.312102 wrist:302.763388 footbed:292.456177 dressy:290.661579 skirt:287.873458 hat:286.411249 
<Digital_Music> music:1420.970178 lyrics:892.197255 listen:770.898142 heard:594.072755 albums:579.911980 voice:507.853881 playlist:458.650974 vocals:455.253976 catchy:437.972439 band:379.319318 tracks:347.751731 sing:346.059534 upbeat:344.781768 listening:320.877166 mp:317.378186 rock:314.266974 singing:296.484162 sings:289.377696 singer:285.461698 sounds:243.418965 rap:224.496483 artist:221.912790 ballad:217.326127 track:215.748140 radio:210.600615 hear:208.604079 sung:201.410454 jazz:199.815306 sound:198.198473 spangled:186.590858 nastradamus:186.590858 bloops:186.590858 crusin:186.590858 underoath:186.590858 hackett:186.590858 listened:186.155689 download:176.203828 tune:166.913167 ep:166.145925 cher:161.458097 drums:155.562193 talented:145.712458 bluesy:144.099047 dance:142.504763 blues:142.272275 artists:142.265200 funk:142.056193 falsetto:136.966097 sounding:135.539570 recording:134.738560 groove:134.567997 soulful:134.271577 indie:125.427474 bands:123.708468 bleeps:123.065673 songstress:123.065673 pharrell:123.065673 withers:123.065673 yodeling:123.065673 pretenders:123.065673 krall:123.065673 musicians:122.105910 listens:121.124253 knopfler:116.554502 lyrically:116.007830 recorded:113.434585 classic:112.906603 record:112.789288 released:109.693311 guitarist:109.470479 rapping:109.264637 vocal:107.827783 bonnie:106.529554 chorus:105.584101 favorite:101.426329 
<Electronic> cable:3380.471226 computer:2636.523562 usb:2610.334718 screen:1911.252114 works:1800.796752 tv:1794.473283 sound:1725.147844 ipod:1670.661328 hdmi:1665.154070 ipad:1649.576062 speakers:1646.588446 keyboard:1606.456257 device:1604.515555 gb:1600.060557 adapter:1566.530783 headphones:1485.141217 battery:1462.208235 plug:1399.244082 drive:1296.142201 wireless:1292.690087 tablet:1283.388935 pc:1263.610092 card:1257.536957 hd:1224.086373 cables:1201.809079 sony:1199.727776 lens:1134.343190 plugged:1121.256949 software:1065.593648 port:1052.901543 router:1025.796207 windows:1010.258944 remote:1000.845185 price:992.632271 unit:973.533905 signal:872.182997 canon:868.954093 external:860.992817 player:859.112482 speaker:853.473346 mouse:852.389729 setup:846.777244 audio:837.780041 cord:825.012268 nikon:817.532726 sd:815.091200 apple:790.510756 quality:755.584916 devices:742.714351 lcd:738.140162 cameras:702.081365 desktop:694.442317 receiver:676.928232 charger:664.532540 video:651.749801 logitech:639.159246 mac:636.163179 antenna:633.093968 gps:630.912300 mp:619.927897 ports:601.618501 installed:589.355464 charge:579.236313 worked:569.154382 asus:565.568109 macbook:555.554756 connect:555.299263 flash:555.202560 monitor:552.955119 zoom:548.709635 power:543.179853 files:536.615296 portable:536.597319 bluetooth:529.476261 mode:510.599450 
<Grocery_and_Gourmet_Food> flavors:2104.380375 snack:2070.359000 delicious:1741.678058 tasting:1740.714556 tea:1693.170456 tastes:1664.285235 chocolate:1609.998518 flavored:1420.752364 sugar:1365.634128 tasted:1054.619936 teas:944.765442 drink:943.484685 organic:934.817607 coffees:875.559126 sauce:856.751650 salty:837.739531 butter:805.995711 gluten:786.833911 tasty:756.523369 flavorful:709.206190 peanut:685.228138 sweetener:684.419869 milk:682.009401 spicy:679.160108 salt:667.445934 cocoa:666.437142 candies:665.191606 coconut:661.732111 keurig:651.888262 corn:636.170316 cereal:636.096505 creamy:635.449234 seasoning:603.923494 aroma:599.583990 eat:599.209988 crunchy:592.094425 cinnamon:592.094425 bitter:589.860961 cookies:577.745194 almonds:569.186656 texture:566.703487 sodium:553.072019 grocery:541.229180 cup:540.600563 chewy:526.235348 crackers:522.579874 yummy:510.499088 rice:509.824633 oatmeal:491.151156 starbucks:462.545188 drinker:456.564883 breakfast:456.346606 aftertaste:449.590134 calories:447.894560 cups:424.664712 candy:414.436725 healthy:411.374362 fruit:407.245702 decaf:399.074453 cereals:399.074453 caramel:391.955458 flour:386.755869 hazelnut:379.433700 sweetened:379.433700 roast:373.928700 chocolates:371.573900 iced:360.929260 pack:358.854763 tazo:358.694996 granola:351.913628 syrup:346.057975 stevia:343.522001 flavoring:343.496960 vanilla:337.302340 caffeine:326.820005 
