<Apps_for_Android> games:2537037.105560 play:2247113.809199 graphics:1713265.448235 kindle:1623429.541857 addicting:1242808.218409 addictive:1035936.044198 challenging:992713.539363 coins:955141.679683 fire:873237.771383 playing:858860.140818 puzzles:685415.549732 apps:581592.883989 levels:524737.622314 free:501001.821579 download:468874.680054 downloaded:401933.954403 ads:391326.574536 bingo:326777.766315 gameplay:292273.053611 flappy:278066.691227 uninstalled:268092.427066 facebook:244862.800211 mahjong:224833.172335 solitaire:208979.842933 puzzle:202466.749107 played:195723.396053 faotd:192946.726265 waster:191535.253187 deleted:177813.007917 bought:177044.817379 android:167433.618833 minecraft:151811.819479 permissions:150550.720969 quality:149208.721027 earn:147636.801158 glitches:146220.334186 price:143873.868399 delete:140480.647180 author:135121.912413 made:132578.257622 challenge:132521.769623 reading:132386.710213 addicted:131976.023121 years:129977.928989 fit:125061.109578 freezes:124941.458654 uninstall:115769.584058 unlock:115529.325887 characters:111292.514389 series:110420.017660 downloading:109572.878925 written:106710.570173 multiplayer:103978.085416 hints:94662.746860 size:91927.694730 brain:89846.100413 crashes:88833.958784 logos:88734.409837 bored:88520.255331 appstore:87729.094674 awesome:87075.036798 end:86583.045199 sims:86515.184813 developer:86228.958217 put:86093.680578 small:85847.108946 back:85710.113666 perfect:83950.907983 feel:83251.680087 light:82042.831246 apos:78491.832032 temple:73684.359197 tetris:73628.037917 ordered:73215.710527 gameloft:71976.958826 
<Automotive> honda:899891.590586 vehicle:849301.518159 jeep:790102.374475 oem:755344.265250 toyota:715339.039158 installed:635971.788215 engine:597462.834761 headlights:510657.377222 wiper:461613.731050 dealer:436119.233078 dealership:402704.267043 tire:360453.096922 fit:356697.263990 chevy:355170.134109 brake:353076.897013 installation:340952.239241 ford:329939.483589 tires:328746.774967 headlight:324946.191685 wipers:319042.857377 bmw:301157.709326 rear:301095.859566 nissan:297601.321384 windshield:296184.001196 mats:287368.258678 hitch:270319.148802 mpg:267696.712849 dodge:266542.167505 factory:258812.102232 vehicles:251335.845190 silverado:249077.326003 mechanic:248847.512545 lights:239934.155270 exhaust:237077.933487 passenger:235748.462098 bolts:222091.473242 steering:219603.939187 muffler:211049.140785 motorcycle:208974.043449 bumper:206088.595795 cars:199794.937997 rotors:199640.057097 filter:197924.017539 helmet:195749.442569 mazda:194960.563346 trailer:193587.702737 gmc:192902.691825 subaru:191723.096648 wrangler:188869.786279 tailgate:184867.128301 camry:183925.862800 fuel:181699.421560 wheel:167741.095434 autozone:164132.764349 bolt:163948.438790 civic:162273.954141 decal:157593.254812 tacoma:156741.154307 dorman:154908.425012 vw:151956.204479 weathertech:148025.603682 corolla:146642.284914 auto:143855.053527 radiator:142288.864270 stock:138958.376630 obd:135003.668024 wiring:130797.951445 sticker:129467.049436 kit:129263.723273 towing:127195.146822 delco:124619.308787 struts:123710.639891 gasket:122620.068450 inverter:120563.569331 rv:119622.294692 
<Baby> crib:2667936.395581 diaper:2492661.108470 diapers:1274764.928410 seat:1200896.751382 graco:989622.562789 infant:940272.351171 carseat:894780.634905 sippy:837571.894220 britax:823530.946617 newborn:815352.497041 medela:754043.849715 babies:742670.146606 nipple:679658.874784 strollers:658870.777566 avent:641923.636751 bassinet:604830.905185 nipples:582201.766431 teething:580376.474202 toddler:561002.162727 pacifier:554832.952583 son:510071.778201 pacifiers:473680.794459 bottles:468078.061964 swaddle:458391.687370 teether:445377.496841 daughter:424089.644390 nursery:403663.217636 gate:389895.366265 seats:387514.415019 recline:366439.524428 potty:363338.853360 blanket:360589.383118 toys:350896.317221 chicco:338402.061132 month:334549.428980 months:322878.632557 highchair:311735.785016 booster:291804.349669 bib:279423.802841 chair:279181.828383 boppy:257993.220174 blankets:252045.848216 bjorn:247854.412407 wipes:244683.016540 evenflo:242209.914196 swaddling:238400.970948 loves:235769.515545 breast:222465.168351 playtex:220618.988071 soft:216373.889578 child:211046.535879 diapering:200891.673940 nuk:200157.000233 bouncer:199017.383362 mattress:195426.694715 swaddled:187684.621319 prefolds:184303.998746 wash:183781.904571 carrier:183683.098775 teethers:173760.113471 burp:167968.680493 tub:167559.271233 breastfeeding:159321.946928 tray:159090.842348 cute:156977.449037 thirsties:155404.395224 cribs:155254.593903 latch:152949.900767 straps:151685.369042 reclines:151271.670440 milk:150512.539532 sleep:149742.864196 paci:148522.931075 pail:148346.650702 feeding:145914.667614 
<Beauty> scent:2505495.684568 shampoo:2470819.336102 lotion:2216207.275243 smells:2102912.921574 conditioner:1836080.074841 smell:1687045.300530 fragrance:1672830.526996 moisturizer:1552949.451011 greasy:1485301.288614 perfume:1461724.093932 oily:1401379.807840 makeup:1363767.424201 dry:1288295.777431 acne:1268801.176379 curly:1105315.342900 scalp:1008692.539878 cream:909831.642018 salon:851523.750625 mascara:843802.731999 curls:799127.170033 products:787354.893674 brush:779472.493529 moisturizing:774593.178150 bottle:757981.296015 cologne:736128.577890 frizzy:723963.464432 lashes:718491.039208 cleanser:717300.909837 nail:708955.667947 serum:686491.573136 frizz:679234.615440 nails:642905.920170 polish:637716.528395 pores:610978.760658 sunscreen:592058.865390 face:569787.608559 brushes:523096.682493 tanning:503835.041328 soap:493001.396773 spf:459247.355653 lotions:456884.344480 oil:448821.634997 wavy:446605.317872 moisturized:443322.661751 shampoos:436119.704012 drying:430902.015083 breakouts:419785.227485 natural:419140.008518 straightener:390272.393243 silky:387265.482631 soft:385009.729585 concealer:381236.378559 comb:376460.151083 gel:360064.730915 dryer:358895.207941 apply:358176.857122 creams:355108.607657 curl:350055.039470 curling:349031.387397 dries:346980.129475 wash:336390.752141 eyeliner:328364.089137 dermatologist:322824.830522 spray:320828.694116 facial:317191.864993 opi:313098.913875 shiny:312257.598838 argan:300874.769619 scents:293439.338777 olay:289400.063581 color:289318.713350 eyeshadow:289052.390373 sensitive:287696.342822 shower:286970.976127 smooth:286271.257776 
<Book> author:6326826.490899 reading:6206104.023470 characters:4677207.476060 written:4181523.689039 reader:2776905.307544 series:2710623.668503 writing:2452095.914198 interesting:2381979.017899 stories:2187356.760429 world:2111926.435228 pages:2080150.745807 enjoyed:2053247.378353 character:1889458.719804 history:1864811.711470 information:1755622.998674 page:1738118.551046 readers:1612977.525819 chapter:1522686.218247 plot:1431264.498669 price:1294861.140521 authors:1291582.056872 people:1264599.643068 quality:1209839.901278 understand:1162831.356253 romance:1143852.751115 chapters:1119490.723852 lives:1103705.903442 fiction:1089475.782613 writer:1059360.213784 learn:1049291.321264 end:1038612.071138 novels:1037646.688366 mystery:1001237.464602 fit:986281.416680 ending:971008.321376 loved:927667.092210 historical:922054.825689 relationship:912113.370170 god:903591.204096 understanding:903114.165282 man:900322.163748 interested:892990.337365 ideas:883863.891319 family:881152.385200 human:854265.000068 bought:851943.621308 subject:844075.005939 young:842569.228243 war:826590.071811 size:812647.052028 interest:772926.157113 writes:752452.775729 guide:736236.075054 tale:735533.344619 works:726230.726302 knowledge:725474.543681 children:725460.971239 woman:718544.554355 journey:714183.936053 events:709812.858631 fascinating:708820.464719 wait:708560.499617 heart:702255.450215 text:699898.483684 finished:692542.918522 insight:689693.306734 published:689160.587087 things:679682.129088 examples:677054.957856 beginning:674296.430259 forward:673988.704707 sense:663383.328463 found:663224.107830 questions:663215.137749 personal:657481.852375 
<CDs_and_Vinyl> music:13157686.539152 albums:7261002.421758 tracks:6142853.873386 listen:5520849.433677 lyrics:5269633.779379 band:4972240.084543 rock:4314414.325245 vocals:4107893.936181 track:3647365.687632 listening:3441267.854948 heard:3262719.583011 recording:3063421.559722 voice:2971410.616610 sound:2740244.218886 musical:2470999.721081 singing:2348940.415569 quot:2215094.535233 sounds:2193442.873724 recordings:2179367.342357 recorded:2166537.257661 record:2032272.559051 singer:2019828.536360 vocal:1951824.747031 tunes:1912413.087223 jazz:1899423.529794 bands:1891763.792424 solo:1872866.265504 hear:1840733.539041 disc:1822670.958069 cds:1741097.652809 sing:1637756.923438 listened:1617116.859456 catchy:1601535.689292 blues:1546441.210388 pop:1511012.741503 concert:1490373.349988 release:1466086.993788 musicians:1430922.814753 piano:1418385.675257 melodies:1352990.514696 melodic:1313842.532905 fan:1296926.831887 artists:1296681.160587 hits:1252388.246646 released:1234889.893340 fans:1230675.276567 orchestra:1206249.639626 drums:1203158.889618 collection:1198856.760643 sings:1141809.997569 ballad:1140212.012629 instrumental:1097721.857099 singers:1091072.165298 listener:1083434.056796 records:1066835.404475 soundtrack:1062162.384367 ballads:1038266.789527 chorus:1024212.844220 lp:1011449.674937 riffs:1009719.985772 dance:997544.690827 artist:984192.115979 acoustic:955397.034260 melody:948977.728034 punk:925793.979281 guitars:917089.092783 production:902909.275489 arrangements:896478.690092 musically:869751.970046 live:864546.233061 classic:860469.773771 songwriting:840566.680300 bass:829582.499208 sung:823182.521573 studio:817239.786068 
<Cell_Phones_and_Accessorie> iphone:4478166.275383 screen:2210550.914688 protector:2031946.264260 charger:1737448.623131 galaxy:1385496.368860 otterbox:1335937.805342 charge:1279298.266351 phones:1100108.370880 protection:1085014.311078 battery:1013109.348310 samsung:959285.944613 charging:954538.128436 cases:923982.322999 dropped:878567.179907 protects:824654.612787 htc:809200.001709 protectors:784761.174368 fits:760652.961835 bluetooth:591852.617276 cell:588250.967986 headset:580058.596274 verizon:565499.094903 otter:543873.247868 bubbles:483507.834191 bulky:463680.781532 buttons:460886.945094 motorola:460589.938964 stylus:452177.353213 droid:446343.428083 cover:430612.292311 protect:424897.167511 nokia:396266.734431 charges:386619.720150 pocket:386556.483600 blackberry:372028.917088 kickstand:368603.020413 rubber:360176.803915 protected:340637.283798 protective:339059.987057 lg:331243.766263 chargers:325550.636790 holster:311725.716943 clip:291773.120664 sim:290714.809204 fit:287264.110364 defender:271542.627586 scratches:270085.143546 charged:259648.051041 nexus:259551.104906 drop:245714.349486 usb:241751.868027 rubberized:232672.599589 razr:229905.982582 slim:228297.924355 tpu:218007.126023 sprint:215165.945712 perfectly:215110.206883 silicone:212668.241887 plastic:209060.968767 smartphone:203217.401321 ear:203030.910242 gs:201347.170494 reading:199829.126696 evo:198631.134976 characters:198539.833099 device:198407.573406 button:198039.306135 spigen:186337.723901 mobile:185680.613278 broke:184279.010639 author:182515.508258 port:181124.707830 iphones:175471.387611 bulk:175008.865681 edges:166575.308232 
<Clothing_Shoes_and_Jewelry> comfortable:4461890.097233 shoe:4216298.273359 size:3537183.431421 fit:2789245.367086 pair:2440774.867317 boots:2267104.413630 wearing:1860317.923766 shirt:1829290.264124 dress:1654765.899015 jeans:1198738.134732 feet:1176860.929977 earrings:1172819.645013 worn:1169084.620309 heel:1065372.330103 wore:1035598.979353 socks:980434.971804 bra:906315.006361 sandals:896017.715357 necklace:869353.319210 compliments:864167.639318 costume:848951.973724 comfy:829996.789513 pants:796244.260476 bracelet:778783.399529 sizing:769222.181167 color:757907.762328 leather:755712.030231 cute:747279.919868 toe:697499.035287 fabric:684772.159551 ordered:662068.308091 foot:643527.412620 wears:590761.432653 jewelry:566964.095184 fits:558118.516692 watches:546883.677909 sole:541411.156859 watch:535492.721482 boot:531338.028477 pairs:518510.211593 waist:496176.628850 shirts:496126.993882 slippers:493077.872675 ring:482617.793655 warm:464108.137510 sandal:445881.837397 soles:427423.274777 stylish:421042.325932 pendant:403729.530685 arch:364058.466762 narrow:354762.205690 tight:351299.244089 outfit:351054.769524 leggings:351050.251489 material:345988.190579 sizes:345607.478126 colors:345192.476360 nice:344821.244521 reading:344208.495387 jacket:339649.955630 characters:339140.099513 ankle:332483.651804 wrist:328197.214739 quality:326121.282165 hat:320939.445682 sneakers:314646.376563 author:313897.660701 wallet:309620.657310 walking:309222.039529 flattering:302731.476548 bras:301758.177622 dressy:298714.367320 soft:295934.982122 casual:289385.079268 medium:288327.184363 
<Digital_Music> music:1513702.677062 lyrics:1118117.049223 listen:900117.596690 albums:524249.239803 heard:518506.724663 voice:476037.247222 listening:400755.897080 tracks:398691.669359 vocals:381551.247633 track:376969.728532 catchy:369768.457131 rock:309135.672420 band:302609.184532 rap:286144.712735 sing:280747.274747 singer:242609.493403 artist:234277.462449 singing:223033.175788 tune:221627.399674 hear:194639.468648 dance:190042.491198 sounds:186077.979859 listened:173780.945501 melody:169713.737170 sound:167168.792669 eminem:161829.092862 upbeat:159321.191434 hop:155332.594934 pop:143363.505923 sings:140930.381087 beats:136301.928488 radio:130906.501254 vocal:122350.890307 classic:120960.684697 record:120767.794093 musical:118252.916760 artists:117724.306985 mp:117119.562518 soulful:115229.246515 beat:108493.711479 rapper:108197.887052 tunes:107781.480142 hip:106876.012238 playlist:105541.510352 download:105006.833123 chorus:102691.634732 jazz:100925.059548 rappers:100813.757138 favorite:93197.854527 hits:90133.640917 melodies:89878.984181 soul:88319.609919 piano:88265.073770 remix:86985.339052 ballad:86408.709991 funk:85137.788242 blues:84788.957360 bands:84599.808487 sung:82303.199689 talent:81783.375778 solo:81722.442914 recording:80504.673999 instrumental:80137.915224 debut:79410.469442 ep:76980.928518 love:73942.436761 fan:73780.854227 songwriter:71991.213458 mellow:70603.710064 rendition:70119.564256 singles:69911.498054 version:69030.240602 quot:68749.020025 hearing:66633.746887 lyrically:66492.675479 
<Electronic> cable:3153958.030381 usb:2583656.531204 computer:2488720.114210 ipad:1763846.847511 screen:1661794.514209 speakers:1622171.513290 works:1589426.686619 keyboard:1583634.154411 battery:1574153.413999 gb:1562458.886575 sound:1551958.744393 headphones:1524923.047578 hdmi:1472656.172590 tv:1467469.605354 sony:1429597.493487 ipod:1418341.392083 device:1407711.265594 wireless:1368544.895920 adapter:1367856.102668 tablet:1335555.809473 drive:1225407.916940 plug:1209633.686039 card:1153472.389981 cables:1146256.413548 pc:1120474.704460 software:1105843.735914 lens:1087916.524163 windows:1057384.007499 hd:1051629.284624 router:1020290.648195 unit:990866.658801 remote:983998.704752 price:968918.330410 mouse:901025.704782 port:875107.250943 plugged:861195.083855 signal:849799.848409 macbook:811942.117561 cord:810883.644878 player:801151.602090 quality:796514.759567 canon:782974.736623 setup:781591.290379 speaker:779002.597759 cameras:753309.900311 sd:723805.715046 video:704779.608779 audio:700183.016628 mp:682633.704151 receiver:677336.172665 external:675780.777760 apple:665045.822582 nikon:661901.540825 devices:656166.005708 charger:651527.363916 lcd:648288.696622 antenna:628712.934415 desktop:624418.302308 logitech:613072.070355 charge:611489.478954 dell:609942.283018 ports:592125.548794 flash:590026.905668 connect:588579.935632 worked:581561.498262 monitor:565000.035992 zoom:562666.518149 power:553590.062791 samsung:552738.087962 gps:551173.080679 mac:551137.118763 bluetooth:550662.072579 system:546147.125741 asus:545590.634663 files:538927.102519 
<Grocery_and_Gourmet_Food> tea:2079542.798545 tastes:1860009.798727 delicious:1745823.959860 flavors:1695319.002007 chocolate:1667101.182366 sugar:1613053.748022 tasted:1550874.607575 snack:1485249.307976 tasty:1351257.024791 tasting:1276370.817961 sauce:897879.093356 drink:876615.869201 gluten:811062.565146 flavored:797849.963158 teas:751470.631254 coconut:750617.723850 organic:735982.113187 milk:698915.208876 syrup:692281.609973 eat:670798.877761 grocery:664732.723313 flavorful:654618.840116 cup:634386.174201 calories:613782.840388 decaf:610475.200014 keurig:599825.377488 coffees:597360.980808 cereal:594169.764064 salty:578820.124783 candy:564689.108615 roast:525551.869797 cinnamon:504167.239886 spicy:488307.407130 crackers:482983.473550 salt:482401.798823 vanilla:477626.039276 cookies:463500.027420 chewy:455759.592874 aftertaste:450126.109961 butter:442557.420491 sweetener:431032.922438 crunchy:424279.220931 texture:408777.055052 yummy:396618.136396 peanut:396370.766736 candies:394971.826659 beans:381200.723163 seasoning:381175.783551 sweet:374800.643003 bitter:369537.007008 sodium:362394.755099 caffeine:355252.802739 aroma:352317.908229 oatmeal:349221.991213 cups:341890.022377 honey:337898.843407 fruit:326312.402403 caramel:319932.206963 stevia:317181.294290 breakfast:316162.956195 almonds:311720.822824 fresh:304329.885068 flavoring:302727.540984 rice:298997.816247 corn:297747.007904 chai:294898.659835 popcorn:290485.786887 pasta:288122.476498 starbucks:280711.769959 cheese:277582.146698 noodles:273031.241599 granola:271123.734055 healthy:262507.250080 licorice:262326.446085 hazelnut:258093.556405 
